,Task,Priority,InterArrival,Arrival,ServiceTime,FinishTime,SystemTime,WaitingTime,TimeOut,TimeOuted
0,0,3,11,0,9,11,11,2,33,False
1,1,3,7,7,8,17,10,2,34,False
2,2,3,10,17,10,31,14,4,32,False
3,3,3,4,21,8,39,18,10,32,False
4,4,3,5,26,8,47,21,13,34,False
5,5,2,8,34,8,55,21,13,36,False
6,6,3,7,41,8,61,20,12,32,False
7,7,3,11,52,8,69,17,9,35,False
8,8,2,10,62,8,77,15,7,32,False
9,9,3,9,71,9,88,17,8,33,False
10,10,3,6,77,8,96,19,11,32,False
11,11,3,6,83,8,102,19,11,32,False
12,12,2,7,90,11,113,23,12,33,False
13,13,3,17,107,8,121,14,6,32,False
14,14,3,11,118,8,129,11,3,33,False
15,15,3,6,124,8,135,11,3,32,False
16,16,3,11,135,9,146,11,2,32,False
17,17,3,7,142,10,159,17,7,34,False
18,18,3,5,147,9,169,22,13,33,False
19,19,3,6,153,8,176,23,15,32,False
20,20,3,4,157,9,186,29,20,32,False
21,21,3,8,165,9,195,30,21,32,False
22,22,3,9,174,8,202,28,20,33,False
23,23,3,4,178,8,209,31,23,32,False
24,24,3,14,192,8,217,25,17,36,False
25,25,2,8,200,8,223,23,15,32,False
26,26,1,12,212,8,231,19,11,32,False
27,27,2,12,224,11,244,20,9,32,False
28,28,3,7,231,8,252,21,13,35,False
29,29,3,8,239,10,262,23,13,33,False
30,30,3,7,246,8,270,24,16,32,False
31,31,3,10,256,8,276,20,12,32,False
32,32,3,7,263,8,284,21,13,32,False
33,33,3,13,276,8,292,16,8,33,False
34,34,3,8,284,11,303,19,8,32,False
35,35,3,8,292,9,313,21,12,32,False
36,36,3,11,303,8,322,19,11,32,False
37,37,1,7,310,8,330,20,12,34,False
38,38,3,7,317,11,343,26,15,32,False
39,39,3,6,323,9,352,29,20,32,False
40,40,2,9,332,8,360,28,20,33,False
41,41,2,6,338,8,368,30,22,32,False
42,42,3,9,347,8,376,29,21,33,False
43,43,3,9,356,8,384,28,20,32,False
44,44,2,4,360,9,393,33,24,34,False
45,45,2,9,369,8,403,34,26,34,False
46,46,1,8,377,8,411,34,26,33,False
47,47,3,8,385,8,418,33,25,32,True
48,48,2,8,393,8,426,33,25,32,False
49,49,1,6,399,8,432,33,25,32,True
50,50,3,8,407,8,440,33,25,33,False
51,51,3,7,414,8,447,33,25,32,True
52,52,3,6,420,8,453,33,25,32,True
53,53,3,6,426,8,459,33,25,32,True
54,54,3,10,436,8,467,31,23,32,False
55,55,2,8,444,8,475,31,23,34,False
56,56,3,5,449,8,483,34,26,33,False
57,57,1,6,455,8,488,33,25,32,True
58,58,3,7,462,8,495,33,25,34,False
59,59,3,8,470,9,504,34,25,33,False
60,60,2,8,478,10,511,33,23,32,True
61,61,3,9,487,8,517,30,22,32,False
62,62,3,13,500,8,525,25,17,32,False
63,63,3,8,508,8,532,24,16,34,False
64,64,3,10,518,10,544,26,16,32,False
65,65,3,10,528,8,554,26,18,32,False
66,66,3,6,534,8,561,27,19,32,False
67,67,1,6,540,9,570,30,21,35,False
68,68,1,5,545,8,577,32,24,32,False
69,69,3,7,552,8,584,32,24,32,False
70,70,3,10,562,10,594,32,22,32,False
71,71,3,13,575,9,605,30,21,38,False
72,72,3,10,585,8,611,26,18,34,False
73,73,3,13,598,8,617,19,11,33,False
74,74,3,4,602,8,627,25,17,32,False
75,75,3,15,617,8,634,17,9,32,False
76,76,2,5,622,8,641,19,11,32,False
77,77,3,10,632,8,650,18,10,32,False
78,78,3,10,642,8,657,15,7,33,False
79,79,3,5,647,8,666,19,11,32,False
80,80,1,10,657,8,674,17,9,32,False
81,81,3,7,664,8,683,19,11,34,False
82,82,3,8,672,8,692,20,12,34,False
83,83,2,4,676,8,699,23,15,32,False
84,84,3,7,683,8,707,24,16,32,False
85,85,3,5,688,8,716,28,20,33,False
86,86,3,12,700,8,723,23,15,33,False
87,87,1,8,708,10,737,29,19,33,False
88,88,3,6,714,10,749,35,25,34,False
89,89,3,9,723,8,757,34,26,33,False
90,90,2,6,729,8,762,33,25,32,True
91,91,1,3,732,9,765,33,24,32,True
92,92,3,5,737,8,771,34,26,33,True
93,93,1,7,744,8,777,33,25,33,False
94,94,1,5,749,8,783,34,26,33,True
95,95,3,8,757,8,790,33,25,32,True
96,96,3,8,765,8,798,33,25,32,False
