,Task,Priority,InterArrival,Arrival,ServiceTime,FinishTime,SystemTime,WaitingTime,TimeOut,TimeOuted
0,0,3,5,0,8,8,8,0,32,False
1,1,2,7,7,8,18,11,3,32,False
2,2,3,7,14,8,24,10,2,32,False
3,3,1,10,24,8,32,8,0,32,False
4,4,2,10,34,8,42,8,0,33,False
5,5,1,16,50,8,58,8,0,32,False
6,6,3,13,63,9,72,9,0,32,False
7,7,3,9,72,8,80,8,0,32,False
8,8,3,15,87,9,96,9,0,32,False
9,9,2,12,99,10,109,10,0,32,False
10,10,3,9,108,8,119,11,3,33,False
11,11,3,6,114,8,131,17,9,35,False
12,12,3,9,123,8,133,10,2,32,False
13,13,3,9,132,8,147,15,7,32,False
14,14,3,6,138,8,149,11,3,32,False
15,15,3,10,148,9,158,10,1,34,False
16,16,3,8,156,8,172,16,8,33,False
17,17,3,4,160,8,176,16,8,35,False
18,18,3,11,171,8,184,13,5,32,False
19,19,3,8,179,8,196,17,9,32,False
20,20,3,8,187,8,206,19,11,32,False
21,21,3,8,195,8,210,15,7,32,False
22,22,3,4,199,8,218,19,11,32,False
23,23,3,5,204,8,226,22,14,33,False
24,24,3,7,211,8,234,23,15,33,False
25,25,2,9,220,8,240,20,12,33,False
26,26,3,7,227,8,248,21,13,34,False
27,27,3,10,237,8,256,19,11,32,False
28,28,2,10,247,9,275,28,19,32,False
29,29,2,6,253,8,279,26,18,32,False
30,30,2,8,261,8,281,20,12,35,False
31,31,2,12,273,8,289,16,8,32,False
32,32,2,7,280,9,310,30,21,32,False
33,33,3,8,288,8,318,30,22,32,False
34,34,3,6,294,8,328,34,26,33,True
35,35,3,8,302,8,332,30,22,32,False
36,36,3,6,308,10,340,32,22,33,False
37,37,3,9,317,8,350,33,25,32,True
38,38,2,9,326,11,360,34,23,32,True
39,39,3,7,333,8,368,35,27,33,True
40,40,3,4,337,8,370,33,25,32,False
41,41,3,4,341,8,372,31,23,32,False
42,42,3,8,349,10,382,33,23,32,False
43,43,2,8,357,8,390,33,25,32,True
44,44,3,9,366,8,394,28,20,32,False
45,45,3,6,372,8,396,24,16,33,False
46,46,3,11,383,8,416,33,25,32,False
47,47,3,12,395,8,418,23,15,33,False
48,48,2,5,400,8,426,26,18,33,False
49,49,3,7,407,8,428,21,13,32,False
50,50,1,13,420,8,436,16,8,33,False
51,51,2,9,429,10,452,23,13,32,False
52,52,2,7,436,8,468,32,24,32,False
53,53,3,7,443,9,471,28,19,32,False
54,54,3,7,450,8,479,29,21,32,False
55,55,3,4,454,9,482,28,19,32,False
56,56,3,4,458,8,492,34,26,32,True
57,57,2,11,469,9,497,28,19,33,False
58,58,3,11,480,8,509,29,21,33,False
59,59,3,8,488,10,513,25,15,33,False
60,60,3,15,503,9,532,29,20,32,False
61,61,3,9,512,10,536,24,14,32,False
62,62,1,9,521,8,544,23,15,32,False
63,63,3,12,533,8,554,21,13,32,False
64,64,3,10,543,9,557,14,5,32,False
65,65,3,5,548,9,570,22,13,32,False
66,66,2,10,558,8,586,28,20,33,False
67,67,3,6,564,8,588,24,16,32,False
68,68,3,5,569,9,601,32,23,32,False
69,69,3,10,579,9,610,31,22,32,False
70,70,3,9,588,8,622,34,26,32,True
71,71,1,9,597,8,624,27,19,33,False
72,72,3,11,608,8,626,18,10,32,False
73,73,3,8,616,8,630,14,6,32,False
74,74,3,10,626,8,636,10,2,36,False
75,75,3,10,636,9,645,9,0,32,False
76,76,2,14,650,8,664,14,6,32,False
77,77,2,6,656,9,669,13,4,36,False
78,78,3,8,664,9,676,12,3,32,False
79,79,3,7,671,10,688,17,7,32,False
80,80,1,5,676,8,696,20,12,32,False
81,81,3,16,692,9,703,11,2,32,False
82,82,2,9,701,8,711,10,2,32,False
83,83,3,9,710,10,721,11,1,35,False
84,84,3,10,720,9,734,14,5,32,False
85,85,1,4,724,8,748,24,16,32,False
86,86,3,5,729,9,755,26,17,32,False
87,87,3,7,736,9,770,34,25,34,False
88,88,3,8,744,8,778,34,26,32,True
89,89,3,9,753,10,788,35,25,32,True
90,90,2,4,757,8,792,35,27,32,True
91,91,3,7,764,8,796,32,24,32,False
